"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\calendrier\page.tsx", "TypeScript JSX", 249, 0, 7, 34, 290
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\components\Navbar.tsx", "TypeScript JSX", 60, 0, 1, 8, 69
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\dashboard\page.tsx", "TypeScript JSX", 101, 0, 4, 11, 116
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\globals.css", "PostCSS", 0, 22, 0, 5, 27
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\layout.tsx", "TypeScript JSX", 23, 0, 0, 3, 26
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\login\page.tsx", "TypeScript JSX", 103, 0, 7, 16, 126
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\page.tsx", "TypeScript JSX", 34, 0, 3, 4, 41
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\projets\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\projets\page.tsx", "TypeScript JSX", 533, 0, 17, 68, 618
"c:\Users\flore\Documents\Projet Katja\Projet\mon-agenda\app\taches\page.tsx", "TypeScript JSX", 472, 0, 16, 61, 549
"Total", "-", 1575, 22, 55, 211, 1863